type,interval_time,from,to,quantity,hide_in,hide_out
hide/release,05:00,500101102,,,0,1
dispatch,05:00,500101103,500101137,2,,
dispatch,05:00,500101104,500101147,2,,
dispatch,05:00,500101107,500101184,3,,
dispatch,05:00,500101113,500101024,2,,
dispatch,05:00,500101113,500101166,1,,
hide/release,05:00,500101113,,,0,2
hide/release,05:00,500101116,,,0,2
dispatch,05:00,500101119,500101024,1,,
dispatch,05:00,500101125,500101185,3,,
dispatch,05:00,500101126,500101093,1,,
dispatch,05:00,500101129,500101250,1,,
hide/release,05:00,500101129,,,0,1
dispatch,05:00,500101130,500101171,1,,
hide/release,05:00,500101130,,,0,1
dispatch,05:00,500101141,500101123,2,,
dispatch,05:00,500101142,500101166,1,,
dispatch,05:00,500101154,500101156,2,,
dispatch,05:00,500101158,500101152,1,,
dispatch,05:00,500101163,500101251,1,,
hide/release,05:00,500101163,,,0,1
dispatch,05:00,500101176,500101105,2,,
hide/release,05:00,500101176,,,0,1
hide/release,05:00,500101190,,,0,1
dispatch,05:00,500101193,500101024,1,,
hide/release,05:00,500101211,,,0,1
hide/release,05:00,500101216,,,0,1
dispatch,05:00,500101226,500101150,3,,
dispatch,05:00,500101231,500101237,4,,
hide/release,05:00,500101231,,,0,2
dispatch,05:00,500101236,500101160,1,,
dispatch,05:00,500101240,500101024,1,,
dispatch,05:00,500101242,500101221,1,,
dispatch,05:00,500101248,500101184,2,,
dispatch,05:00,500101253,500101227,1,,
hide/release,05:00,500101257,,,0,1
dispatch,05:00,500101259,500101209,1,,
hide/release,05:00,500101259,,,0,1
dispatch,05:30,500101013,500101156,1,,
dispatch,05:30,500101019,500101184,1,,
dispatch,05:30,500101026,500101101,2,,
dispatch,05:30,500101027,500101101,1,,
dispatch,05:30,500101027,500101152,1,,
hide/release,05:30,500101032,,,0,1
dispatch,05:30,500101037,500101172,1,,
dispatch,05:30,500101094,500101098,1,,
dispatch,05:30,500101094,500101137,2,,
dispatch,05:30,500101095,500101022,2,,
hide/release,05:30,500101097,,,0,1
dispatch,05:30,500101099,500101151,1,,
dispatch,05:30,500101100,500101155,1,,
dispatch,05:30,500101100,500101222,1,,
dispatch,05:30,500101108,500101151,3,,
hide/release,05:30,500101113,,,0,1
dispatch,05:30,500101116,500101212,2,,
hide/release,05:30,500101116,,,0,1
dispatch,05:30,500101141,500101221,1,,
dispatch,05:30,500101143,500101209,2,,
dispatch,05:30,500101144,500101093,4,,
dispatch,05:30,500101162,500101192,1,,
dispatch,05:30,500101163,500101022,1,,
dispatch,05:30,500101207,500101022,3,,
dispatch,05:30,500101211,500101022,2,,
dispatch,05:30,500101211,500101139,1,,
hide/release,05:30,500101215,,,0,1
dispatch,05:30,500101216,500101022,1,,
dispatch,05:30,500101224,500101152,1,,
dispatch,05:30,500101225,500101146,1,,
dispatch,05:30,500101229,500101120,1,,
hide/release,05:30,500101231,,,0,1
dispatch,05:30,500101235,500101155,1,,
dispatch,05:30,500101239,500101025,1,,
dispatch,05:30,500101248,500101015,1,,
hide/release,05:30,500101253,,,0,1
dispatch,06:00,500101001,500101010,2,,
dispatch,06:00,500101007,500101027,1,,
dispatch,06:00,500101026,500101190,1,,
dispatch,06:00,500101034,500101027,1,,
dispatch,06:00,500101207,500101100,1,,
dispatch,06:00,500101234,500101216,1,,
dispatch,06:00,500101235,500101225,1,,
dispatch,06:30,500101144,500101022,5,,
dispatch,06:30,500101194,500101022,1,,
dispatch,06:30,500101217,500101125,1,,
dispatch,06:30,500101224,500101211,1,,
dispatch,06:30,500101245,500101113,1,,
dispatch,07:00,500101026,500101133,5,,
